"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.45	1	0.9875	0.2375	0.3625	0.4875
0.25	1	0.4	0.1125	0.3	0.9875
0.975	1	1	0.25	0.425	0.6
0.675	1	0.475	0.25	0.375	0.3875
0.975	1	0.9875	0.175	0.9875	0.2
0.35	1	0.7125	0.125	0.2875	0.3875
0.375	1	0.6125	0.2125	0.5625	0.9875
0.35	1	0.6125	0.1375	0.1875	0.45
0.375	1	0.45	0.1375	0.4125	0.35
0.5	1	0.9875	0.2625	0.35	0.4
0.975	0.975	0.9875	0.275	0.85	0.85
0.425	0.8	0.425	0.1875	0.325	0.3125
0.5	1	0.9875	0.375	0.4625	0.5125
0.3	1	0.3625	0.4375	0.35	0.5125
1	1	1	0.225	0.9875	0.375
0.35	1	0.3375	0.125	0.25	0.4375
0.575	0.85	0.325	0.3625	0.3625	0.4625
0.975	1	0.9875	0.2375	0.3125	0.35
0.025	1	0.25	0.2625	0.2875	1
0.3	1	0.6875	0.1875	0.2375	0.3375
0.45	1	0.6125	0.1	0.075	0.1875
0.575	0.925	0.4125	0.2375	0.25	0.725
0.375	0.725	0.6125	0.2125	0.3	0.425
0.375	1	0.5375	0.1875	0.2625	0.3
0.6	1	0.3875	0.7875	0.1625	0.5375
0.175	1	0.6125	0.2125	0.2875	0.2625
0.4	1	0.9875	0.1125	1	0.2875
0.1	0.825	0.2375	0.1625	0.2375	0.5375
0.475	1	0.9875	0.3875	0.3	0.4
0.45	1	0.5375	0.0125	0.15	0
0.325	1	0.7	0.25	0.2875	0.4125
0.475	1	0.8	0.15	0.225	0.325
0.4	1	0.6125	0.2375	0.4375	0.1875
0.525	1	0.4125	0.3	0.2	0.225
0.8	1	0.9875	0.6	0.2	0.1375
0.35	1	0.7875	0.2625	1	0.3375
0.275	1	0.55	0.35	0.45	0.9875
0.975	1	0.9875	0.0625	0	0.475
0.275	0.825	0.5	0.35	0.225	0.5
0.45	1	0.9875	0.1125	0.3	0.0125
0.55	1	0	0.075	0.525	0.175
0.6	1	0.7375	0.1125	0.175	0.4375
0.425	1	0.9875	0.2375	0.35	0.5125
0.325	1	0.6	0.15	0.2375	0.9875
0.4	1	0.75	0.7875	0.8	0.7125
0.025	0.975	0.0625	0.3375	0.525	0.3875
0.725	1	0.3625	0.25	0.3125	0.5125
0.2	0.95	0.5625	0.1625	0.4	0.875
0.375	1	0.8	0.1625	0.25	1
1	0.975	1	0.2125	0.2875	0.475
