"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.204	0.002	0.121	0.816	0.732	0.211
0.364	0.202	0.24	0.669	0.626	0.378
0.002	0.11	0.001	0.576	0.752	0.39
0.138	0.002	0.086	0.592	0.52	0.381
0.19	0	0.001	0.866	0.153	0.315
0.218	0.13	0.232	0.955	0.387	0.782
0.238	0.42	0.205	0.634	0.46	0.239
0.268	0.168	0.262	0.681	0.475	0.551
0.29	0.216	0.284	0.725	0.468	0.383
0.1	0.134	0.131	0.612	0.125	0.146
0.002	0.192	0.117	0.558	0.991	0.001
0.222	0.47	0.094	0.566	0.919	0.346
0.002	0.512	0.85	0.714	0.986	0.209
0.274	0.466	0.117	0.591	0.557	0.346
0.002	0	0.001	0.54	0.317	0.336
0.268	0.192	0.447	0.647	0.569	0.614
0.124	0.002	0.125	0.619	0.553	0.475
0.502	0.22	0.551	0.001	0.748	0.001
0.91	0.836	0.149	0.741	0.544	0.287
0.32	0.148	0.31	0.705	0.401	0.356
0.252	0.514	0.264	0.693	0.391	0.302
0.12	0.002	0.106	0.648	0.305	0.65
0.218	0.27	0.3	0.734	0.59	0.431
0.266	0.212	0.279	0.55	0	0.278
0.136	0.156	0.166	0.667	0.558	0.448
0.266	0.038	0.987	0.718	0.396	0.339
0.002	0.432	0.001	0.667	0.509	0.278
0.002	0.614	0.176	0.383	0.62	0.557
0.2	0.148	0.208	0.79	0.411	0.319
0.222	0.654	0.176	0.595	0.632	0.285
0.306	0.19	0.258	0.588	0.526	0.334
0.102	0.496	0.125	0.65	0.496	0.404
0.29	0.224	0.32	0.681	0.588	0.818
0.126	0.564	0.162	0.767	0.391	0.31
0.024	0.102	0.084	0.677	0.384	0.333
0.146	0.136	0.247	0.601	0.534	0.421
0.412	0.002	0.612	0.499	0.6	0.596
0.002	0.792	0.783	0.62	0.539	0.439
0.364	0.332	0.427	0.672	0.446	0.414
0.218	0.002	0.001	0.692	0.437	0.353
0.104	0.138	0.157	0.704	0.581	0.432
0.104	0.142	0.24	0.683	0.58	0.532
0.214	0.002	0.197	0.541	0.403	0.256
0.23	0.26	0.27	0.658	0.558	0.339
0.192	0.398	0.19	0.855	0.708	0.302
0.578	0.864	0.885	0.648	0.506	0.454
0.002	0.002	0.001	0.708	0.691	0.212
0.094	0.1	0.081	0.606	0.554	0.325
0.224	0.182	0.196	0.699	0.513	0.355
0.148	0.142	0.132	0.641	0.962	0.407
