"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.4	1	0.7125	0.25	0.2875	0.3625
0.1	1	0.5125	0.175	0.4125	0.5125
0.55	1	0.8375	0.2	0.1625	0.9875
0.325	1	0.125	0.3375	0.1625	0.35
0.3	1	0.7875	0.025	0.8125	0.375
0.45	1	0.825	0.325	0.525	0.5875
0.575	1	0.95	0.0875	0.2	0.9875
0.2	1	0.6375	0.2125	0.0125	0.3625
0.625	1	0.2375	0.225	0.3	0.3625
0.325	1	0.65	0.1125	0.9875	0.3875
0.275	1	0.65	0.1625	0.1	0.125
0.075	0.95	0.65	0.075	0.2625	0.25
0.15	1	0.5125	0.175	0.3875	0.9875
0.25	1	0.6375	0.075	0.1125	0.1625
0.9	1	0.025	0.1	0.1125	0.9875
0.45	1	0.8125	0.1625	0.15	0.4125
0.275	1	0.45	0.2	0.1625	0.45
0.35	0.95	0.3375	0.0375	0.0625	0.525
0.375	0.775	0.625	0.15	0.4	0.35
0.25	1	0.7875	0.1125	0.1875	0.9875
0.375	0.975	0.6125	0.9875	0.15	0.35
0.25	1	0.7625	0.0875	0.9875	0.9875
0.275	0.675	0.5375	0.225	0.2375	0.3375
0.55	1	0.9875	0.1375	0.1375	0.2875
0.4	0.95	0.7125	0.0125	0.45	0.9875
0.375	0.925	0.7125	0.3375	0.2375	0.175
0.625	1	0.425	0.075	0.1625	0.4375
0.4	1	0.8375	0.9875	0.3	0.425
0.375	1	0.7625	0.9875	0.2125	0.5125
0.625	0.6	0.0125	0.0125	0.4375	0.35
0.55	1	0.1875	0	0.0375	0.9875
0.375	1	0.6625	0.1875	0.025	0.3375
0.3	1	0.6875	0	0.2125	0.0125
0.475	0.95	0.725	0.525	0.2125	0.9875
0.35	0.9	0.6625	0.2375	0.35	0.4
0.2	1	0.575	0.1125	0.1375	0.175
0.3	1	0.5875	0.075	0.3625	0.4375
0.5	1	0.9875	0.2	0.9875	0.35
0.375	1	0.5625	0.0125	0.25	0.275
0.475	0.975	0.775	0.25	0.0625	0.9875
0.4	1	0.7	0.0875	0.1375	1
0.425	0.975	0.7625	0.075	0.9875	0.9875
0.5	1	0.775	0.0375	0.1125	0.55
0.4	1	0.675	0.2	0.05	0.05
0.4	1	0.2625	0.15	0.3375	0.3625
0.475	0.9	0.7125	0	0.275	0.0875
0.35	1	0.7	0.1	0.325	0.9875
0.3	0.975	0.6625	0.1625	0.3375	0.4875
0.25	1	0.7125	0.5125	0	0.3875
0.6	1	0.15	0.275	0.1625	0.5125
