"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.55	0.875	0.75	0.125	0.275	0.4875
0.25	1	0.8375	0.1	0.025	0.1625
0.125	1	0.625	0.0375	0.1	0.1875
0.125	1	0.675	0	0.2	0.4125
0.25	1	0.6	0.1875	0.2875	0.35
0.075	0.925	0.65	0.9875	0.2125	1
0.175	1	0.45	0.0875	0.1	0.1875
0.25	1	0.675	0.0125	0.5125	0.4875
0.325	1	0.85	0.1	0	0.2875
0.075	1	0.5625	0.0375	0.125	0.3
0.35	1	0.875	0.15	0.2	0.2
0.4	0.775	0.7625	0.05	0.1875	0.7125
0.425	0.95	0.725	0.0375	1	1
0.125	0.925	0.55	0.2625	0.125	0.55
0.4	1	0.9375	0.1125	0.1375	0.3625
0.1	0.975	0.0125	0.0625	0.1125	0.9875
0.425	0.975	0.5625	0.0125	0.025	0.1375
0.1	1	0.5875	0	0	0.05
0.5	0.925	0.6875	0.2125	0.9875	0.2125
0.125	1	0.3625	0.025	0.0375	0.0125
0.2	0.975	0.5125	0.1875	0.125	0.05
0.25	1	0.6125	0.1	0.2625	0.1875
0.375	1	0.6875	0.2	0.9875	0.275
0.3	0.75	0.675	0.5125	0.45	1
0.325	0.65	0.7625	0.8	0.075	0.1125
0.6	1	0.85	0.525	0.125	0.9875
0.05	1	0.7125	0.0875	0.1875	0.35
0.125	1	0.6	0.075	0.2125	0.3
0.275	1	0.5375	0	0.2	0.3375
0.2	1	0.8	0.05	0.025	0.0375
0.675	1	0.8625	0.0375	0.2375	0.1125
0.175	1	0.3125	0.0125	0.05	0.325
0.125	0.75	0.4625	0.0375	0.1	1
0.175	1	0.0125	0.2625	0.4375	0.2
0.075	1	0.525	0.9875	0.0875	0.125
0.2	1	0.7	0.0125	0.05	0.9875
0.075	1	0.4125	0.9875	0.7	0.25
0.425	1	0.775	0.05	0.1875	0.4
0.075	1	0.65	0.9875	0.075	0.15
0.1	0.7	0.4625	0.1375	0.1375	0.175
0.2	1	0.625	0.9875	0.1625	0.0625
0.125	0.975	0.3875	0.1	0.1625	0.9875
0.25	1	0.625	0.9875	0.0875	0.3625
0.575	1	0.175	0.125	0.275	1
0.7	1	0.725	0.7625	0.3375	0.4125
0.4	1	0.6625	0.0875	0.1375	0.275
0.3	1	0.75	0.2125	0.2	0.9875
0.525	0.975	0.8	0.2625	0.0125	0.4
0.3	1	0.65	0.0875	0.225	0.525
0.3	1	0.4375	0.075	0.35	0.0875
