"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.65	0.25	0.8	0.1	0.1125	0.3
0.75	0.75	0.7625	0.1125	0.275	0.25
0.35	0.65	0.35	0.0125	0.1125	0.1375
0.275	0.325	0.3125	0.05	0.0375	0.1375
0.25	0.45	0.375	0.025	0.0375	0.0375
0.225	0.625	0.5125	0.075	0.1	0.1375
0.175	0.425	0.175	0.05	0.15	0.1875
0.325	0.35	0.375	0.0375	0.05	0.025
0.375	0.5	0.3875	0.05	0.1125	0.1125
0.1	0.375	0.2125	0.025	0.1	0.1125
0.25	0.675	0.25	0.025	0.075	0.0875
0.375	0.35	0.475	0.05	0.1	0.125
0.5	0.725	0.5375	0.0625	0.1	0.175
0.25	0.325	0.4125	0.05	0.1125	0.075
0.375	0.325	0.65	0.05	0.1875	0.15
0.175	0.4	0.2375	0.025	0.0875	0.1
0.1	0.45	0.2875	0.025	0.1	0.15
0.225	0.25	0.1625	0.0625	0.1	0.125
0.5	0.7	0.6	0.0875	0.1125	0.25
0.25	0.875	0.375	0.0375	0.0875	0.1
0.275	0.55	0.375	0.05	0.1375	0.1625
0.15	0.375	0.25	0.0625	0.1125	0.025
0.275	0.7	0.275	0.025	0.0375	0.075
0.075	0.575	0.2375	0.0625	0.1625	0.325
0.375	0.4	0.375	0.0125	0.075	0.15
0.525	0.475	0.5	0.025	0.0625	0.075
0.175	0.15	0.2125	0.025	0.0375	0.0875
0.25	0.15	0.2625	0.0375	0.1125	0.125
0.125	0.45	0.25	0.0625	0.075	0.2
0.025	0.425	0.1875	0.0625	0.1375	0.175
0.625	0.425	0.5625	0.0625	0.1125	0.1125
0.125	0.325	0.15	0.0125	0.05	0.05
0.15	0.3	0.175	0.0875	0.2	0.1125
0.25	0	0.675	0.1	0	0.0625
0.25	0.275	0.275	0.0375	0.0875	0.05
0.025	0.35	0.1625	0.05	0.0375	0.0375
0.2	0.175	0.2125	0.0375	0.05	0.075
0.375	0.425	0.3625	0.0125	0.05	0.1125
0.1	0	0.0875	0	0	0.0625
0.225	0.225	0.1875	0.0375	0.05	0.1625
0.125	0.15	0.1625	0.0375	0.0375	0.0875
0.2	0.25	0.175	0.0375	0.1	0.1125
0.175	0.1	0.075	0.025	0.0625	0.0625
0.525	0.6	0.575	0.075	0.1125	0.1375
0.45	0.625	0.3375	0.1375	0.1125	0.1125
0.2	0.475	0.35	0.0375	0.05	0.1375
0.325	0.475	0.475	0.125	0.1375	0.225
0.45	0.25	0.225	0.05	0.075	0.1125
0.175	0.35	0.2125	0.025	0.0875	0.125
0.25	0.3	0.2125	0.0375	0.1	0.125
