"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.206	0	0.094	0.735	0.644	0.508
0.522	0	0.271	0.651	0.4	0.272
0.134	0	0.053	0.703	0.769	0.001
0.166	0	0.799	0.508	0.699	0.444
0.188	0	0.053	0.965	0.046	0.288
0.134	0	0.045	0.655	0.456	0.35
0.1	0.002	0.005	0.889	0.68	0.001
0.23	0	0.11	0.626	0.974	0.363
0.086	0.002	0.565	0.579	0.491	0.447
0.23	0	0.142	0.731	0.001	0.4
0.296	0.002	0.186	0.717	0.903	0.817
0.552	0.038	0.142	0.794	0.496	0.514
0.494	0.03	0.267	0.725	0.554	0.001
0.39	0	0.145	0.854	0.803	0.75
0.01	0	0.928	0.847	0.807	0.001
0.136	0.002	0.05	0.71	0.732	0.393
0.194	0.002	0.343	0.706	0.703	0.278
0.146	0.058	0.502	0.935	0.866	0.296
0.146	0.242	0.118	0.698	0.424	0.455
0.304	0	0.038	0.773	0.632	0.001
0.224	0.05	0.184	0.001	0.658	0.453
0.324	0	0.071	0.87	0.001	0.001
0.266	0.244	0.247	0.683	0.593	0.455
0.088	0.002	0.001	0.814	0.758	0.595
0.182	0.118	0.104	0.985	0.451	0.001
0.258	0.052	0.082	0.497	0.538	0.698
0.056	0	0.351	0.828	0.726	0.324
0.132	0	0.031	0.001	0.53	0.355
0.156	0	0.051	0.001	0.638	0.289
0.07	0.274	0.981	0.985	0.379	0.43
0.074	0.002	0.752	0.989	0.926	0.001
0.178	0	0.127	0.653	0.9	0.38
0.274	0.002	0.126	0.98	0.587	0.972
0.07	0.086	0.055	0.327	0.641	0.001
0.132	0.094	0.089	0.646	0.441	0.393
0.336	0	0.189	0.815	0.811	0.704
0.244	0.002	0.194	0.783	0.399	0.303
0.068	0	0.001	0.728	0.001	0.479
0.204	0.002	0.173	0.984	0.598	0.482
0.124	0.006	0.052	0.641	0.871	0.001
0.228	0	0.125	0.905	0.852	0
0.136	0.052	0.067	0.873	0.001	0.001
0.106	0.02	0.038	0.982	0.915	0.268
0.134	0	0.122	0.743	0.895	0.931
0.14	0	0.687	0.806	0.544	0.496
0.102	0.082	0.062	0.984	0.535	0.802
0.168	0.002	0.099	0.889	0.533	0.001
0.252	0.008	0.193	0.74	0.569	0.316
0.32	0.002	0.088	0.252	0.985	0.359
0.094	0.008	0.806	0.554	0.786	0.332
