"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.2	0.18	0.22	0.91	0.87	0.58
0.366666666666667	0.56	0.26	0.896666666666667	0.76	0.553333333333333
0.613333333333333	0.186666666666667	0.426666666666667	0.956666666666667	0.853333333333333	0.743333333333333
0.493333333333333	0.353333333333333	0.366666666666667	0.88	0.85	0.64
0.393333333333333	0.506666666666667	0.406666666666667	0.946666666666667	0.86	0.693333333333333
0.56	0.313333333333333	0.39	0.843333333333333	0.793333333333333	0.703333333333333
0.653333333333333	0.486666666666667	0.593333333333333	0.916666666666667	0.833333333333333	0.786666666666667
0.373333333333333	0.00666666666666667	0.27	0.86	0.846666666666667	0.756666666666667
0.346666666666667	0.00666666666666667	0.25	0.976666666666667	0.716666666666667	0.733333333333333
0.72	0.246666666666667	0.503333333333333	0.966666666666667	0.763333333333333	0.77
0.306666666666667	0.04	0.156666666666667	0.806666666666667	0.64	0.52
0.28	0.0266666666666667	0.183333333333333	0.876666666666667	0.893333333333333	0.62
0.266666666666667	0.266666666666667	0.223333333333333	0.87	0.756666666666667	0.603333333333333
0.666666666666667	0.0933333333333333	0.53	0.87	0.56	0.63
0.28	0.00666666666666667	0.106666666666667	0.96	0.736666666666667	0.77
0.58	0.36	0.466666666666667	0.85	0.84	0.666666666666667
0.266666666666667	0.533333333333333	0.406666666666667	0.82	0.74	0.546666666666667
0.633333333333333	0.273333333333333	0.573333333333333	0.906666666666667	0.736666666666667	0.596666666666667
0.326666666666667	0.26	0.283333333333333	0.883333333333333	0.666666666666667	0.66
0.546666666666667	0.193333333333333	0.563333333333333	0.936666666666667	0.766666666666667	0.813333333333333
0.44	0.153333333333333	0.356666666666667	0.923333333333333	0.793333333333333	0.636666666666667
0.42	0.26	0.326666666666667	0.92	0.75	0.82
0.346666666666667	0.7	0.276666666666667	0.853333333333333	0.816666666666667	0.47
0.433333333333333	0.0333333333333333	0.283333333333333	0.816666666666667	0.72	0.463333333333333
0.306666666666667	0.28	0.24	0.95	0.756666666666667	0.666666666666667
0.14	0.06	0.0866666666666667	0.923333333333333	0.82	0.696666666666667
0.833333333333333	0.646666666666667	0.58	0.96	0.796666666666667	0.776666666666667
0.68	0.213333333333333	0.443333333333333	0.96	0.81	0.62
0.346666666666667	0.266666666666667	0.323333333333333	0.84	0.743333333333333	0.633333333333333
0.42	0.0866666666666667	0.293333333333333	0.833333333333333	0.78	0.313333333333333
0.133333333333333	0.14	0.146666666666667	0.91	0.683333333333333	0.606666666666667
0.473333333333333	0.313333333333333	0.716666666666667	0.866666666666667	0.716666666666667	0.666666666666667
0.74	0.406666666666667	0.566666666666667	0.74	0.763333333333333	0.61
0	0.986666666666667	0.98	0.853333333333333	0.776666666666667	0.706666666666667
0.666666666666667	0.68	0.54	0.936666666666667	0.81	0.833333333333333
0.62	0.293333333333333	0.42	0.906666666666667	0.896666666666667	0.733333333333333
0.613333333333333	0.713333333333333	0.696666666666667	0.913333333333333	0.856666666666667	0.736666666666667
0.213333333333333	0.16	0.166666666666667	0.903333333333333	0.896666666666667	0.55
0.606666666666667	0.893333333333333	0.373333333333333	0.946666666666667	0.826666666666667	0.806666666666667
0.546666666666667	0.373333333333333	0.506666666666667	0.906666666666667	0.876666666666667	0.706666666666667
0.4	0.2	0.266666666666667	0.833333333333333	0.706666666666667	0.636666666666667
0.7	0.253333333333333	0.643333333333333	0.92	0.826666666666667	0.656666666666667
0.366666666666667	0.38	0.493333333333333	0.88	0.78	0.653333333333333
0.16	0.0666666666666667	0.123333333333333	0.883333333333333	0.836666666666667	0.563333333333333
0.126666666666667	0.0466666666666667	0.126666666666667	0.843333333333333	0.826666666666667	0.696666666666667
0.34	0.246666666666667	0.273333333333333	0.873333333333333	0.743333333333333	0.476666666666667
0.426666666666667	0.213333333333333	0.283333333333333	0.856666666666667	0.746666666666667	0.463333333333333
0.226666666666667	0.12	0.28	0.95	0.816666666666667	0.76
0.34	0.293333333333333	0.303333333333333	0.97	0.846666666666667	0.686666666666667
0.346666666666667	0.406666666666667	0.406666666666667	0.84	0.756666666666667	0.613333333333333
