"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.444	0.426	0.468	0.623	0.569	0.471
0.664	0.568	0.605	0.802	0.567	0.531
0.17	0.116	0.156	0.588	0.523	0.317
0.302	0.224	0.291	0.73	0.539	0.431
0.256	0.212	0.258	0.682	0.637	0.512
0.304	0.238	0.246	0.829	0.535	0.345
0.288	0.248	0.295	0.627	0.649	0.366
0.168	0.212	0.24	0.698	0.515	0.389
0.186	0.078	0.151	0.729	0.491	0.647
0.246	0.5	0.413	0.771	0.622	0.39
0.288	0.31	0.299	0.757	0.568	0.415
0.698	0.294	0.528	0.789	0.683	0.908
0.246	0.002	0.178	0.705	0.609	0.536
0.48	0.498	0.521	0.612	0.57	0.379
0.262	0.256	0.406	0.659	0.489	0.289
0.404	0.228	0.365	0.656	0.641	0.493
0.002	0.226	0.221	0.66	0.647	0.526
0.218	0.208	0.274	0.79	0.603	0.413
0.272	0.292	0.293	0.776	0.553	0.59
0.214	0.184	0.231	0.723	0.568	0.569
0.488	0.288	0.441	0.756	0.649	0.527
0.352	0.3	0.411	0.669	0.449	0.444
0.51	0.422	0.469	0.781	0.691	0.572
0.2	0.262	0.25	0.73	0.496	0.413
0.282	0.326	0.293	0.726	0.641	0.521
0.316	0.244	0.301	0.809	0.566	0.503
0.698	0.942	0.109	0.342	0.983	0.528
0.332	0.418	0.397	0.681	0.62	0.644
0.232	0.25	0.28	0.635	0.587	0.497
0.326	0.354	0.377	0.705	0.529	0.697
0.036	0.148	0.145	0.745	0.523	0.445
0.484	0.632	0.634	0.807	0.864	0.536
0.5	0.502	0.526	0.666	0.562	0.46
0.018	0.27	0.167	0.823	0.716	0.407
0.41	0.386	0.533	0.731	0.669	0.841
0.26	0.222	0.283	0.754	0.531	0.451
0.314	0.37	0.35	0.641	0.623	0.438
0.336	0.284	0.291	0.701	0.585	0.528
0.412	0.424	0.435	0.618	0.643	0.486
0.262	0.026	0.225	0.754	0.662	0.652
0.48	0.234	0.412	0.742	0.594	0.61
0.14	0.146	0.187	0.7	0.551	0.457
0.984	0.228	0.192	0.735	0.587	0.517
0.41	0.4	0.401	0.826	0.579	0.415
0.294	0.232	0.281	0.753	0.468	0.321
0.252	0.196	0.264	0.837	0.571	0.667
0.242	0.33	0.307	0.864	0.648	0.335
0.248	0.29	0.343	0.781	0.55	0.505
0.238	0.174	0.213	0.697	0.627	0.558
0.058	0.896	0.106	0.735	0.648	0.492
