"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.224	0	0.083	0.713	0.652	0.44
0.84	0	0.441	0.909	0.761	0.405
0.13	0	0.486	0.691	0.001	0.506
0.362	0.118	0.157	0.584	0.612	0.287
0.264	0.002	0.403	0.784	0.651	0.591
0.346	0.002	0.124	0.817	0.401	0.296
0.214	0.094	0.161	0.843	0.711	0.751
0.224	0.188	0.196	0.834	0.589	0.195
0.254	0	0.18	0.73	0.535	0.438
0.172	0.002	0.098	0.353	0.001	0.001
0.174	0	0.001	0.766	0.795	0.349
0.724	0.002	0.237	0.719	0.707	0.494
0.064	0	0.354	0.744	0.614	0.001
0.73	0.044	0.149	0.818	0.495	0.046
0.056	0	0.26	0.803	0.68	0.603
0.13	0	0.337	0.679	0.616	0.467
0.332	0.002	0.282	0.801	0.414	0.344
0.218	0.002	0.681	0.885	0.768	0.001
0.282	0.002	0.174	0.58	0.409	0.209
0.172	0	0.478	0.706	0.001	0.486
0.478	0.002	0.448	0.671	0.383	0.388
0.414	0.002	0.201	0.829	0.738	0.776
0.484	0.286	0.409	0.733	0.632	0.51
0.414	0	0.279	0.683	0.308	0.376
0.334	0	0.19	0.915	0.359	0.001
0.134	0.056	0.361	0.001	0.717	0.585
0.242	0	0.48	0.784	0.001	0.286
0.316	0.21	0.326	0.911	0.527	0.341
0.242	0.002	0.132	0.754	0.001	0.001
0.282	0	0.187	0.678	0.557	0.444
0.218	0.004	0.709	0.685	0.458	0.401
0.352	0.186	0.286	0.864	0.773	0.428
0.41	0.002	0.298	0.902	0.587	0.425
0.184	0.108	0.14	0.641	0.574	0.425
0.374	0	0.287	0.867	0.506	0.304
0.416	0.002	0.235	0.39	0.696	0.587
0.252	0	0.188	0.763	0.069	0.57
0.644	0.2	0.412	0.703	0.673	0.001
0.236	0.002	0.148	0.92	0.5	0.32
0.246	0	0.107	0.726	0.378	0.582
0.282	0	0.281	0.859	0.475	0.023
0.168	0.116	0.14	0.815	0.65	0.447
0.168	0.138	0.124	0.746	0.001	0.237
0.356	0	0.23	0.698	0.001	0.761
0.05	0	0.088	0.178	0.036	0.073
0.268	0.002	0.185	0.001	0.162	0.372
0.196	0	0.142	0.769	0.595	0.565
0.32	0.002	0.213	0.72	0.416	0.954
0.29	0.002	0.138	0.864	0.868	0.001
0.536	0.08	0.312	0.652	0.477	0.397
